序号,件号,名称,中文材料,英文材料,装配处,页数,图纸,任务分配,发动机类型,,级别,,部件,,零件类型,,,零件图纸号,文件夹名称,页号,版本号,文件名称,产品序号,新编号
1,6B1.184,双头螺栓,,,,1,A4,,,,,,,,,,,,,,,,,
2,6B1.190等件号 （13个件号）,十二角头螺栓,,,,1,A3,,,,,,,,,,,,,,,,,
3,6B1.203等件号见表 （5个件号） （EN2928-,十二角头螺栓,,,,2,A4,,,,,,,,,,,,,,,,,
4,6B2.160 6B2.161 6B2.162 (EN3687-050),六角头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,
5,6B2.163 (0000026510),六角头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,
6,6B2.164 (DCM6),六角头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,
7,6B2.165 (0000520440),六角头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,
8,6B2.166 (PCM6),六角头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,
9,6B2.167 (PTK),六角头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,
10,6B2.171（9848705016）,内六花圆头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,
11,6B2.174 (0000026450),三角头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,
12,6B2.175,六角头螺钉,,,,1,A4,,,,,,,,,,,,,,,,,
13,6B4.280 (EN2906-050),十二角自锁螺母,,,,2,A4,,,,,,,,,,,,,,,,,
14,6B4.308,自锁螺母,,,,1,A4,,,,,,,,,,,,,,,,,
15,6B4.831,托板自锁螺母组合件,,,,1,A4,,,,,,,,,,,,,,,,,
16,6B5.253,垫圈,,,,1,A4,,,,,,,,,,,,,,,,,
17,6B5.595,卡簧,,,,1,A4,,,,,,,,,,,,,,,,,
18,07.806,磁堵固定支架,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
19,09.801,搭铁线,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
20,09.804,减振片,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
21,11.011,进气机匣,,,,3,A0,庞科技,,,,,,,,,,,,,,,,
22,11.012/013,螺堵,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
23,11.014/015,螺堵,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
24,11.016,喷咀,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
25,11.017,喷咀,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
26,11.018,定位销,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
27,11.801,进气机匣组件,,,,1,A0,庞科技,,,,,,,,,,,,,,,,
28,15.002,离心压气机轴,,,,1,A0,庞科技,,,,,,,,,,,,,,,,
29,15.101,环形箍带,,,,1,A3,庞科技,,,,,,,,,,,,,,,,
30,15.111,带叶片扩压器,,,,1,A0,庞科技,,,,,,,,,,,,,,,,
31,15.112,盖板,,,,1,A0,庞科技,,,,,,,,,,,,,,,,
32,15.301,涨圈,,,,1,A1,庞科技,,,,,,,,,,,,,,,,
33,15.302,驱动齿轮,,,,1,A2,庞科技,,,,,,,,,,,,,,,,
34,15.303,压气机轴前六槽螺母,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
35,15.304,压气机轴前调整垫,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
36,15.305,调整垫片,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
37,15.306,压气机前盖,,,,1,A1,庞科技,,,,,,,,,,,,,,,,
38,15.307,压气机外机匣,,,,1,A1,庞科技,,,,,,,,,,,,,,,,
39,15.308,空心定位销,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
40,15.309,定位销套,,,,1,A4,庞科技,,,,,,,,,,,,,,,,
41,15.800,离心压气机转子组件,,,,1,A2,庞科技,,,,,,,,,,,,,,,,
42,15.810,组合扩压器组件,,,,1,A3,庞科技,,,,,,,,,,,,,,,,
